MAFFIULETTI  N A,No,,Switzerland,
MARUŠIČ  Jan,No,,Slovenia,
BALASSO  Michelle,No,,Australia,
MIKULJAN  Marica,Yes,,Slovenia,
NOLAN  Gregory,No,,Australia,
KOTLAREWSKI  Nathan,No,,Australia,
HUNT  Mark,No,,Australia,
JACOBS  Andrew,No,,Australia,
O'REILLY  Julianne,No,,Australia,
HOYOS-MARTINEZ  Pedro L,No,,Spain,
LABIDI  Jalel,No,,Spain,
LIANG  Jianqiang,No,,Australia,
KÖLVES  Kairi,No,,Australia,
LEW  Bob,No,,Malaysia,
YUAN  Lu,No,,China,
ABU Talib  Mansor,No,,Malaysia,
JIA  Cun-xian,No,,China,
FERNÁNDEZ-RODRÍGUEZ  Javier,No,,Spain,
ERDOCIA  Xabier,No,,Spain,
HERNÁNDEZ-RAMOS  Fabio,No,,Spain,
GONZALEZ ALRIOLS  María,No,,Spain,
LABIDI  Jalel,No,,Spain,
KOZINC  Žiga,No,,Slovenia,
KLÍMEK  Petr,No,,Czech Republic,
TYTKO  Darius,No,,Czech Republic,
BRABEC  Martin,No,,Czech Republic,
LUKEŠ  Jaroslav,No,,Czech Republic,
HAAGSMA  Juanita A,No,,Netherlands,
JAMES  Spencer L,No,,United States,
CASTLE  Chris D,No,,United States,
DINGELS  Zachary V,No,,United States,
FOX  Jack T,No,,United States,
HAMILTON  Erin B,No,,United States,
LIU  Zichen,No,,United States,
LUCCHESI  Lydia R,No,,United States,
ROBERTS  Nicholas L S,No,,United States,
DE Leo  Diego (sodelavec pri raziskavi)  et al,Yes,,Australia,
FUENTES Da Silva  Silvia Helena,No,,Spain,
LABIDI  Jalel,No,,Spain,
IZAGUIRRE  Nagore,No,,Spain,
ROBLES  Eduardo,No,,Spain,
LABIDI  Jalel,No,,Spain,
SEKKAL  Nawel,No,,Algeria,
BENSLIMANE  Sidi Mohamed,No,,Algeria,
YOUNG PARK  Cheol,No,,United States,
BOUDAA  Boudjemaa,No,,Algeria,
MARKOVIĆ  Goran,No,,Croatia,
PAUŠIĆ  Jelena,No,,Croatia,
HADŽIĆ  Vedran,No,,Slovenia,
MIRKOV  Dragan,No,,Serbia,
KNEZEVIC  Olivera M,No,,Serbia,
GARCÍA Ramos  Amador,No,,Spain,Chile
ČOH  Milan,No,,Slovenia,
KÖLVES  Kairi,No,,Australia,
CHITTY  Kate M,No,,Australia,
WARDHANI  Rachmania,No,,Australia,
VÄRNIK  Airi,No,,Estonia,
WITT  Katrina,No,,Australia,
SEVER  Jernej,No,,Slovenia,
BABIČ  Jan,No,,Slovenia,
KOZINC  Žiga,No,,Slovenia,
HOSTNIK  Jurij,No,,Slovenia,
MARKOVIĆ  Goran,No,,Croatia,
GOODFELLOW  Benjamin,No,,Australia,France
KÖLVES  Kairi,No,,Australia,
SELEFEN  Anne-Cécile,No,,French Polynesia,
MASSAIN  Tiffany,No,,France,
AMADÉO  Stéphane,No,,France,
SOLMI  Marco,No,,Australia,
VERONESE  Nicola,No,,Australia,
GALVANO  Daiana,No,,Australia,
FAVARO  Angela,No,,Australia,
OSTINELLI  Edoardo G,No,,Australia,
